freq,sex,indic_se,isco08,sizeclas,nace_r2,unit,geo\TIME_PERIOD,2022
A,F,HOL,OC0,GE10,O,NR,MT,
A,F,HOL,OC0,GE10,O,NR,NL,
A,F,HOL,OC0,GE10,O,NR,SE,
A,F,HOL,OC0,GE10,O,NR,SI,
A,F,HOL,OC0,GE10,O,NR,SK,
A,F,HOL,OC0,GE10,O-S,NR,CZ,
A,F,HOL,OC0,GE10,O-S,NR,DE,29.0
A,F,HOL,OC0,GE10,O-S,NR,EA19,33.0
A,F,HOL,OC0,GE10,O-S,NR,EA20,33.0
A,F,HOL,OC0,GE10,O-S,NR,EE,
A,F,HOL,OC0,GE10,O-S,NR,ES,
A,F,HOL,OC0,GE10,O-S,NR,EU27_2020,33.0
A,F,HOL,OC0,GE10,O-S,NR,LT,
A,F,HOL,OC0,GE10,O-S,NR,MT,
A,F,HOL,OC0,GE10,O-S,NR,NL,
A,F,HOL,OC0,GE10,O-S,NR,SE,
A,F,HOL,OC0,GE10,O-S,NR,SI,
A,F,HOL,OC0,GE10,O-S,NR,SK,
A,F,HOL,OC0,GE10,P,NR,DE,
A,F,HOL,OC0,GE10,P,NR,EA19,30.0
A,F,HOL,OC0,GE10,P,NR,EA20,30.0
A,F,HOL,OC0,GE10,P,NR,EU27_2020,30.0
A,F,HOL,OC0,GE10,P,NR,LV,38.0
A,F,HOL,OC0,GE10,P,NR,NL,
A,F,HOL,OC0,GE10,P-S,NR,DE,22.0
A,F,HOL,OC0,GE10,P-S,NR,EA19,23.0
A,F,HOL,OC0,GE10,P-S,NR,EA20,23.0
A,F,HOL,OC0,GE10,P-S,NR,EU27_2020,24.0
A,F,HOL,OC0,GE10,P-S,NR,IT,
A,F,HOL,OC0,GE10,P-S,NR,NL,
A,F,HOL,OC0,GE10,P-S,NR,SI,
A,F,HOL,OC0,GE10,Q,NR,CZ,34.0
A,F,HOL,OC0,GE10,Q,NR,DE,26.0
A,F,HOL,OC0,GE10,Q,NR,EA19,23.0
A,F,HOL,OC0,GE10,Q,NR,EA20,23.0
A,F,HOL,OC0,GE10,Q,NR,EU27_2020,24.0
A,F,HOL,OC0,GE10,Q,NR,IT,
A,F,HOL,OC0,GE10,Q,NR,NL,
A,F,HOL,OC0,GE10,Q,NR,SI,
A,F,HOL,OC0,GE10,R,NR,DE,
A,F,HOL,OC0,GE10,R,NR,EA19,28.0
A,F,HOL,OC0,GE10,R,NR,EA20,28.0
A,F,HOL,OC0,GE10,R,NR,EU27_2020,28.0
A,F,HOL,OC0,GE10,R,NR,IT,
A,F,HOL,OC0,GE10,S,NR,DE,
A,F,HOL,OC0,GE10,S,NR,EA19,19.0
A,F,HOL,OC0,GE10,S,NR,EA20,19.0
A,F,HOL,OC0,GE10,S,NR,EU27_2020,19.0
A,F,HOL,OC0,TOTAL,B-N,NR,DE,27.0
A,F,HOL,OC0,TOTAL,B-S,NR,LV,38.0
A,F,HOL,OC0,TOTAL,B-S_X_O,NR,CZ,34.0
A,F,HOL,OC0,TOTAL,B-S_X_O,NR,LV,38.0
A,F,HOL,OC0,TOTAL,B-S_X_O,NR,NL,17.0
A,F,HOL,OC0,TOTAL,G-J,NR,DE,27.0
A,F,HOL,OC0,TOTAL,G-S,NR,LV,38.0
A,F,HOL,OC0,TOTAL,G-S_X_O,NR,CZ,34.0
A,F,HOL,OC0,TOTAL,G-S_X_O,NR,LV,38.0
A,F,HOL,OC0,TOTAL,G-S_X_O,NR,NL,16.0
A,F,HOL,OC0,TOTAL,K-N,NR,DE,25.0
A,F,HOL,OC0,TOTAL,O,NR,DE,29.0
A,F,HOL,OC0,TOTAL,O,NR,LV,38.0
A,F,HOL,OC0,TOTAL,O-S,NR,DE,29.0
A,F,HOL,OC0,TOTAL,O-S,NR,LV,38.0
A,F,HOL,OC0,TOTAL,P,NR,LV,38.0
A,F,HOL,OC0,TOTAL,P-S,NR,CZ,34.0
A,F,HOL,OC0,TOTAL,P-S,NR,DE,19.0
A,F,HOL,OC0,TOTAL,P-S,NR,LV,38.0
A,F,HOL,OC0,TOTAL,Q,NR,CZ,34.0
A,F,HOL,OC0,TOTAL,Q,NR,DE,26.0
A,F,HOL,OC0,TOTAL,S,NR,DE,17.0
A,F,HOL,OC1,GE10,B,NR,AL,19.0
A,F,HOL,OC1,GE10,B,NR,AT,
A,F,HOL,OC1,GE10,B,NR,BA,
A,F,HOL,OC1,GE10,B,NR,BE,
A,F,HOL,OC1,GE10,B,NR,BG,23.0
A,F,HOL,OC1,GE10,B,NR,CH,20.0
A,F,HOL,OC1,GE10,B,NR,CZ,
A,F,HOL,OC1,GE10,B,NR,DE,27.0
A,F,HOL,OC1,GE10,B,NR,DK,
A,F,HOL,OC1,GE10,B,NR,EA19,27.0
A,F,HOL,OC1,GE10,B,NR,EA20,27.0
A,F,HOL,OC1,GE10,B,NR,EE,
A,F,HOL,OC1,GE10,B,NR,EL,
A,F,HOL,OC1,GE10,B,NR,ES,
A,F,HOL,OC1,GE10,B,NR,EU27_2020,26.0
A,F,HOL,OC1,GE10,B,NR,FI,
A,F,HOL,OC1,GE10,B,NR,FR,30.0
A,F,HOL,OC1,GE10,B,NR,HR,
A,F,HOL,OC1,GE10,B,NR,HU,
A,F,HOL,OC1,GE10,B,NR,IE,
A,F,HOL,OC1,GE10,B,NR,IT,
A,F,HOL,OC1,GE10,B,NR,LT,
A,F,HOL,OC1,GE10,B,NR,LV,20.0
A,F,HOL,OC1,GE10,B,NR,NL,
A,F,HOL,OC1,GE10,B,NR,NO,26.0
A,F,HOL,OC1,GE10,B,NR,PL,26.0
A,F,HOL,OC1,GE10,B,NR,PT,
A,F,HOL,OC1,GE10,B,NR,RO,22.0
A,F,HOL,OC1,GE10,B,NR,RS,30.0
A,F,HOL,OC1,GE10,B,NR,SE,30.0
A,F,HOL,OC1,GE10,B,NR,SI,
A,F,HOL,OC1,GE10,B,NR,SK,
A,F,HOL,OC1,GE10,B-E,NR,AL,22.0
A,F,HOL,OC1,GE10,B-E,NR,AT,25.0
A,F,HOL,OC1,GE10,B-E,NR,BA,23.0
A,F,HOL,OC1,GE10,B-E,NR,BE,23.0
A,F,HOL,OC1,GE10,B-E,NR,BG,23.0
A,F,HOL,OC1,GE10,B-E,NR,CH,23.0
A,F,HOL,OC1,GE10,B-E,NR,CY,
A,F,HOL,OC1,GE10,B-E,NR,CZ,25.0
A,F,HOL,OC1,GE10,B-E,NR,DE,28.0
A,F,HOL,OC1,GE10,B-E,NR,DK,25.0
A,F,HOL,OC1,GE10,B-E,NR,EA19,27.0
A,F,HOL,OC1,GE10,B-E,NR,EA20,27.0
A,F,HOL,OC1,GE10,B-E,NR,EE,21.0
A,F,HOL,OC1,GE10,B-E,NR,EL,25.0
A,F,HOL,OC1,GE10,B-E,NR,ES,25.0
A,F,HOL,OC1,GE10,B-E,NR,EU27_2020,26.0
A,F,HOL,OC1,GE10,B-E,NR,FI,23.0
A,F,HOL,OC1,GE10,B-E,NR,FR,29.0
A,F,HOL,OC1,GE10,B-E,NR,HR,22.0
A,F,HOL,OC1,GE10,B-E,NR,HU,28.0
A,F,HOL,OC1,GE10,B-E,NR,IE,
A,F,HOL,OC1,GE10,B-E,NR,IT,28.0
A,F,HOL,OC1,GE10,B-E,NR,LT,22.0
A,F,HOL,OC1,GE10,B-E,NR,LV,21.0
A,F,HOL,OC1,GE10,B-E,NR,NL,23.0
A,F,HOL,OC1,GE10,B-E,NR,NO,26.0
A,F,HOL,OC1,GE10,B-E,NR,PL,25.0
A,F,HOL,OC1,GE10,B-E,NR,PT,24.0
A,F,HOL,OC1,GE10,B-E,NR,RO,23.0
A,F,HOL,OC1,GE10,B-E,NR,RS,24.0
A,F,HOL,OC1,GE10,B-E,NR,SE,30.0
A,F,HOL,OC1,GE10,B-E,NR,SI,28.0
A,F,HOL,OC1,GE10,B-E,NR,SK,26.0
A,F,HOL,OC1,GE10,B-F,NR,AL,22.0
A,F,HOL,OC1,GE10,B-F,NR,AT,25.0
A,F,HOL,OC1,GE10,B-F,NR,BA,23.0
A,F,HOL,OC1,GE10,B-F,NR,BE,23.0
A,F,HOL,OC1,GE10,B-F,NR,BG,22.0
A,F,HOL,OC1,GE10,B-F,NR,CH,23.0
A,F,HOL,OC1,GE10,B-F,NR,CY,
A,F,HOL,OC1,GE10,B-F,NR,CZ,25.0
A,F,HOL,OC1,GE10,B-F,NR,DE,28.0
A,F,HOL,OC1,GE10,B-F,NR,DK,25.0
A,F,HOL,OC1,GE10,B-F,NR,EA19,27.0
A,F,HOL,OC1,GE10,B-F,NR,EA20,27.0
A,F,HOL,OC1,GE10,B-F,NR,EE,20.0
A,F,HOL,OC1,GE10,B-F,NR,EL,25.0
A,F,HOL,OC1,GE10,B-F,NR,ES,25.0
A,F,HOL,OC1,GE10,B-F,NR,EU27_2020,26.0
A,F,HOL,OC1,GE10,B-F,NR,FI,23.0
A,F,HOL,OC1,GE10,B-F,NR,FR,29.0
A,F,HOL,OC1,GE10,B-F,NR,HR,21.0
A,F,HOL,OC1,GE10,B-F,NR,HU,28.0
A,F,HOL,OC1,GE10,B-F,NR,IE,25.0
A,F,HOL,OC1,GE10,B-F,NR,IT,28.0
A,F,HOL,OC1,GE10,B-F,NR,LT,21.0
A,F,HOL,OC1,GE10,B-F,NR,LV,21.0
A,F,HOL,OC1,GE10,B-F,NR,NL,23.0
A,F,HOL,OC1,GE10,B-F,NR,NO,26.0
A,F,HOL,OC1,GE10,B-F,NR,PL,25.0
A,F,HOL,OC1,GE10,B-F,NR,PT,23.0
A,F,HOL,OC1,GE10,B-F,NR,RO,23.0
A,F,HOL,OC1,GE10,B-F,NR,RS,24.0
A,F,HOL,OC1,GE10,B-F,NR,SE,30.0
A,F,HOL,OC1,GE10,B-F,NR,SI,28.0
A,F,HOL,OC1,GE10,B-F,NR,SK,26.0
A,F,HOL,OC1,GE10,B-N,NR,AL,22.0
A,F,HOL,OC1,GE10,B-N,NR,AT,25.0
A,F,HOL,OC1,GE10,B-N,NR,BA,24.0
A,F,HOL,OC1,GE10,B-N,NR,BE,22.0
