,0
2020-01-12 00:00:00-05:00,4384030208
2020-01-31 00:00:00-05:00,4375479808
2020-02-07 00:00:00-05:00,4426659840
2020-02-08 00:00:00-05:00,4375479808
2020-02-12 00:00:00-05:00,4349080064
2020-02-13 00:00:00-05:00,4375479808
2020-03-09 00:00:00-04:00,4317369856
2020-03-10 00:00:00-04:00,4375479808
2020-05-05 00:00:00-04:00,4334329856
2020-08-03 00:00:00-04:00,4283940096
2020-08-04 00:00:00-04:00,4383370240
2020-08-04 00:00:00-04:00,4275630080
2020-08-28 00:00:00-04:00,4275630080
2020-08-31 00:00:00-04:00,17102499840
2020-08-31 00:00:00-04:00,4275630080
2020-10-22 00:00:00-04:00,17102499840
2020-11-03 00:00:00-05:00,17001799680
2020-11-26 00:00:00-05:00,17001799680
2021-01-07 00:00:00-05:00,16823300096
2021-01-29 00:00:00-05:00,16788100096
2021-03-17 00:00:00-04:00,16788100096
2021-03-17 00:00:00-04:00,16181099520
2021-04-14 00:00:00-04:00,16788100096
2021-04-14 00:00:00-04:00,16389699584
2021-04-23 00:00:00-04:00,16986600448
2021-04-25 00:00:00-04:00,16685599744
2021-04-27 00:00:00-04:00,16788100096
2021-05-04 00:00:00-04:00,16687599616
2021-07-30 00:00:00-04:00,16530199552
2021-10-12 00:00:00-04:00,16540600320
2021-10-12 00:00:00-04:00,16530199552
2021-11-02 00:00:00-04:00,16406400000
2021-11-05 00:00:00-04:00,16464000000
2021-11-06 00:00:00-04:00,16406400000
2021-12-03 00:00:00-05:00,16507599872
2021-12-04 00:00:00-05:00,16406400000
2022-01-10 00:00:00-05:00,16334399488
2022-01-31 00:00:00-05:00,16319399936
2022-02-04 00:00:00-05:00,16596899840
2022-02-05 00:00:00-05:00,16319399936
2022-02-11 00:00:00-05:00,16319399936
2022-03-04 00:00:00-05:00,16351800320
2022-03-05 00:00:00-05:00,16319399936
2022-03-15 00:00:00-04:00,16764800000
2022-03-17 00:00:00-04:00,16319399936
2022-04-01 00:00:00-04:00,16614800384
2022-04-02 00:00:00-04:00,16319399936
2022-04-02 00:00:00-04:00,16347499520
2022-05-04 00:00:00-04:00,16185199616
2022-06-09 00:00:00-04:00,16267200512
2022-06-13 00:00:00-04:00,16185199616
2022-07-29 00:00:00-04:00,16243000320
2022-07-30 00:00:00-04:00,16185199616
2022-08-01 00:00:00-04:00,16070800384
2022-09-02 00:00:00-04:00,16070800384
2022-09-15 00:00:00-04:00,15918600192
2022-09-16 00:00:00-04:00,16380800000
2022-09-17 00:00:00-04:00,16070800384
2022-11-01 00:00:00-04:00,15908100096
2022-11-04 00:00:00-04:00,15908100096
2022-11-04 00:00:00-04:00,16612599808
2022-11-05 00:00:00-04:00,15908100096
2022-11-05 00:00:00-04:00,15965599744
2022-12-06 00:00:00-05:00,16036100096
2022-12-07 00:00:00-05:00,15908100096
2023-01-04 00:00:00-05:00,16526300160
2023-01-06 00:00:00-05:00,15908100096
2023-01-19 00:00:00-05:00,15836199936
2023-02-05 00:00:00-05:00,15821899776
2023-03-18 00:00:00-04:00,15903599616
2023-03-21 00:00:00-04:00,15821899776
2023-03-30 00:00:00-04:00,16135100416
2023-04-01 00:00:00-04:00,15821899776
2023-04-01 00:00:00-04:00,16063599616
2023-04-06 00:00:00-04:00,16002599936
2023-04-07 00:00:00-04:00,15821899776
2023-04-07 00:00:00-04:00,15915200512
2023-04-25 00:00:00-04:00,15851700224
2023-04-27 00:00:00-04:00,15821899776
2023-05-04 00:00:00-04:00,15924899840
2023-05-06 00:00:00-04:00,15821899776
2023-05-09 00:00:00-04:00,15735000064
2023-05-09 00:00:00-04:00,15728700416
2023-05-10 00:00:00-04:00,15728700416
2023-05-11 00:00:00-04:00,15728700416
2023-05-13 00:00:00-04:00,15818500096
2023-05-16 00:00:00-04:00,15728700416
2023-06-15 00:00:00-04:00,15783600128
2023-06-16 00:00:00-04:00,15728700416
2023-06-23 00:00:00-04:00,15818500096
2023-06-24 00:00:00-04:00,15728700416
2023-07-05 00:00:00-04:00,15838199808
2023-07-06 00:00:00-04:00,15945700352
2023-07-07 00:00:00-04:00,15728700416
2023-08-22 00:00:00-04:00,15634199552
2023-10-10 00:00:00-04:00,15634199552
2023-10-11 00:00:00-04:00,15686800384
